(2018-04-08,(3.0,47.0,7.0,4.0,47.0,15.25,4,111.5,))
(2018-01-16,(1.0,22.0,7.0,1.0,22.0,10.0,3,53.5,))
(2018-02-28,(8.0,13.0,13.0,8.0,13.0,11.333333333333334,3,20.5,))
(2018-10-03,(2.0,16.0,16.0,2.0,16.0,9.0,2,37.0,))
(2018-12-27,(1.0,154.0,12.0,8.0,39.0,36.333333333333336,9,85.5,154.0))
(2018-04-09,(12.0,113.0,18.0,12.0,113.0,47.666666666666664,3,264.5,))
(2018-11-16,(2.0,22.0,8.0,2.0,10.0,8.0,6,22.0,))
(2018-12-28,(4.0,156.0,50.0,18.0,59.0,46.625,8,120.5,156.0))
(2018-10-04,(5.0,44.0,12.0,8.0,32.0,17.75,8,68.0,))
(2018-01-17,(1.0,4.0,2.0,2.0,4.0,2.25,4,7.0,))
(2018-01-18,(1.0,5.0,5.0,1.0,5.0,3.0,2,11.0,))
(2018-12-29,(3.0,82.0,34.0,4.0,73.0,30.25,8,176.5,))
(2018-10-05,(9.0,312.0,61.0,17.0,112.0,79.16666666666667,12,254.5,312.0))
(2018-11-17,(2.0,450.0,17.0,7.0,29.0,59.0,10,62.0,450.0))
(2018-10-06,(1.0,35.0,23.0,3.0,34.0,19.666666666666668,6,80.5,))
(2018-11-18,(1.0,7.0,5.0,4.0,7.0,4.25,4,11.5,))
(2018-01-19,(1.0,1.0,1.0,1.0,1.0,1.0,2,1.0,))
(2018-11-19,(2.0,31.0,2.0,2.0,31.0,11.666666666666666,3,74.5,))
(2018-10-07,(2.0,126.0,17.0,8.0,33.0,31.142857142857142,7,70.5,126.0))
(2018-10-09,(4.0,62.0,20.0,6.0,48.0,23.75,12,111.0,))
(2018-09-20,(1.0,58.0,19.0,6.0,33.0,21.3,10,73.5,))
(2018-09-21,(3.0,21.0,18.0,4.0,21.0,11.5,4,46.5,))
(2018-06-30,(1.0,41.0,11.0,2.0,23.0,13.666666666666666,6,54.5,))
(2018-08-10,(1.0,16.0,10.0,3.0,16.0,7.5,4,35.5,))
(2018-09-22,(5.0,122.0,15.0,5.0,122.0,47.333333333333336,3,297.5,))
(2018-08-11,(8.0,104.0,42.0,10.0,86.0,48.0,7,200.0,))
(2018-09-23,(2.0,100.0,10.0,4.0,45.0,27.5,6,106.5,))
(2018-05-20,(17.0,90.0,41.0,34.0,53.0,47.0,5,81.5,90.0))
(2018-08-12,(1.0,73.0,13.0,4.0,25.0,23.0,9,56.5,67.0 73.0))
(2018-09-24,(1.0,89.0,20.0,13.0,60.0,28.625,8,130.5,))
(2018-05-21,(2.0,88.0,48.0,8.0,65.0,43.53846153846154,13,150.5,))
(2018-09-25,(1.0,13.0,3.0,1.0,5.0,4.0,7,11.0,13.0))
(2018-07-01,(2.0,216.0,14.0,13.0,40.0,40.0,10,80.5,216.0))
(2018-08-13,(7.0,351.0,39.0,7.0,48.0,77.66666666666667,6,109.5,351.0))
(2018-08-14,(1.0,421.0,30.0,15.0,87.0,71.92307692307692,13,195.0,421.0))
(2018-09-26,(1.0,15.0,7.0,3.0,13.0,7.666666666666667,9,28.0,))
(2018-07-02,(3.0,45.0,14.0,9.0,45.0,17.75,4,99.0,))
(2018-05-22,(17.0,17.0,17.0,17.0,17.0,17.0,1,17.0,))
(2018-04-10,(2.0,74.0,14.0,13.0,70.0,34.6,5,155.5,))
(2018-04-11,(1.0,17.0,2.0,1.0,17.0,6.666666666666667,3,41.0,))
(2018-05-23,(11.0,39.0,16.0,11.0,39.0,22.0,3,81.0,))
(2018-07-03,(10.0,196.0,52.0,12.0,196.0,67.5,4,472.0,))
(2018-12-30,(2.0,73.0,33.0,7.0,65.0,34.285714285714285,7,152.0,))
(2018-09-27,(1.0,90.0,37.0,23.0,58.0,40.111111111111114,9,110.5,))
(2018-08-15,(4.0,303.0,46.0,13.0,72.0,71.88888888888889,9,160.5,303.0))
(2018-04-12,(6.0,27.0,21.0,6.0,27.0,18.0,3,58.5,))
(2018-05-24,(4.0,43.0,12.0,11.0,43.0,17.5,4,91.0,))
(2018-12-31,(4.0,67.0,28.0,15.0,67.0,28.5,4,145.0,))
(2018-07-04,(1.0,89.0,60.0,6.0,89.0,39.0,4,213.5,))
(2018-09-28,(1.0,94.0,12.0,5.0,32.0,24.09090909090909,11,72.5,94.0))
(2018-08-16,(5.0,203.0,27.0,9.0,42.0,45.0,9,91.5,203.0))
(2018-01-20,(4.0,10.0,9.0,4.0,10.0,7.666666666666667,3,19.0,))
(2018-01-21,(1.0,63.0,37.0,9.0,55.0,30.833333333333332,12,124.0,))
(2018-05-25,(4.0,746.0,17.0,12.0,54.0,166.6,5,117.0,746.0))
(2018-07-05,(12.0,67.0,29.0,13.0,52.0,32.857142857142854,7,110.5,))
(2018-03-01,(1.0,7.0,3.0,1.0,7.0,3.6666666666666665,3,16.0,))
(2018-08-17,(1.0,131.0,49.0,12.0,85.0,55.6,5,194.5,))
(2018-11-20,(9.0,19.0,19.0,9.0,19.0,14.0,2,34.0,))
(2018-04-13,(27.0,27.0,27.0,27.0,27.0,27.0,1,27.0,))
(2018-09-29,(9.0,9.0,9.0,9.0,9.0,9.0,1,9.0,))
(2018-04-14,(4.0,27.0,11.0,6.0,27.0,12.0,4,58.5,))
(2018-07-06,(2.0,253.0,9.0,3.0,47.0,47.857142857142854,7,113.0,253.0))
(2018-05-26,(5.0,77.0,13.0,6.0,77.0,25.25,4,183.5,))
(2018-11-21,(2.0,46.0,17.0,5.0,46.0,17.5,4,107.5,))
(2018-08-18,(3.0,170.0,11.0,5.0,118.0,47.285714285714285,7,287.5,))
(2018-03-02,(2.0,453.0,9.0,6.0,11.0,96.2,5,18.5,453.0))
(2018-01-22,(1.0,20.0,16.0,1.0,20.0,12.333333333333334,3,48.5,))
(2018-10-10,(2.0,148.0,13.0,2.0,37.0,32.57142857142857,7,89.5,148.0))
(2018-08-19,(1.0,272.0,30.0,2.0,68.0,55.0,8,167.0,272.0))
