((11292,01-01),(List(120756.0, 6045.0, 3651.0, 20.006118375757826, 31.388055932912447, 10.0),List(11211.0, 581.0, 397.0, 19.2960413080895, 28.239294710327457, 1.0),3.148761222584991))
((11292,01-02),(List(131789.0, 6502.0, 4111.0, 20.362954674357898, 31.458432863858224, 10.0),List(9882.0, 645.0, 359.0, 15.320930232558139, 27.526462395543174, 1.0),3.9319704683150505))
((11292,01-03),(List(139082.0, 6341.0, 4012.0, 22.214510746553977, 33.461294649802696, 10.0),List(7145.0, 611.0, 247.0, 11.693944353518821, 28.927125506072876, 1.0),4.5341691437298195))
((11292,01-04),(List(151251.0, 6099.0, 3940.0, 25.950369846893132, 34.90439794270838, 10.0),List(4074.0, 643.0, 193.0, 6.335925349922239, 21.10880829015544, 1.0),13.795589652552938))
((11292,01-05),(List(127011.0, 5944.0, 3528.0, 21.855147706347335, 32.19836053540716, 10.0),List(4547.0, 548.0, 175.0, 8.297445255474452, 25.982857142857142, 1.0),6.215503392550019))
((11292,01-06),(List(99784.0, 5911.0, 3148.0, 17.13879466812163, 28.819451702342622, 10.0),List(11083.0, 624.0, 253.0, 17.76121794871795, 43.80632411067194, 1.0),-14.986872408329315))
((11292,01-07),(List(92047.0, 5715.0, 3070.0, 16.701934217424093, 29.145783042748825, 10.0),List(13095.0, 613.0, 284.0, 21.36215334420881, 46.109154929577464, 1.0),-16.96337188682864))
((11292,01-08),(List(78347.0, 5710.0, 2802.0, 13.95724346723804, 26.809730309237505, 10.0),List(2524.0, 593.0, 114.0, 4.256323777403035, 22.140350877192983, 1.0),4.669379432044522))
((11292,01-09),(List(102646.0, 5649.0, 2914.0, 18.37646204223069, 31.248693488292428, 10.0),List(4538.0, 597.0, 111.0, 7.601340033500837, 40.88288288288288, 1.0),-9.634189394590454))
((11292,01-10),(List(65989.0, 5598.0, 2519.0, 11.740202215275755, 24.75827791260915, 10.0),List(3779.0, 607.0, 122.0, 6.225700164744646, 30.975409836065573, 1.0),-6.217131923456424))
((11292,01-11),(List(83368.0, 5699.0, 2755.0, 14.693453058851151, 27.584657493624213, 10.0),List(7265.0, 604.0, 248.0, 12.028145695364238, 29.294354838709676, 1.0),-1.7096973450854627))
((11292,01-12),(List(70244.0, 5824.0, 2831.0, 12.258933285719369, 24.57274301375004, 10.0),List(5925.0, 512.0, 155.0, 11.572265625, 38.225806451612904, 1.0),-13.653063437862865))
((11292,01-13),(List(51470.0, 5891.0, 2346.0, 8.778220607885965, 21.40055416988594, 10.0),List(5333.0, 586.0, 145.0, 9.100682593856655, 36.779310344827586, 1.0),-15.378756174941646))
((11292,01-14),(List(49249.0, 5629.0, 2267.0, 8.7311248430858, 21.566030947462973, 10.0),List(3715.0, 616.0, 143.0, 6.0308441558441555, 25.97902097902098, 1.0),-4.412990031558007))
((11292,01-15),(List(64344.0, 5729.0, 2505.0, 11.073012722490784, 23.84909012763713, 10.0),List(3042.0, 585.0, 108.0, 5.2, 28.166666666666668, 1.0),-4.317576539029538))
((11292,01-16),(List(63425.0, 5708.0, 2581.0, 11.003515569090933, 23.72728789969433, 10.0),List(4163.0, 583.0, 141.0, 7.1406518010291595, 29.52482269503546, 1.0),-5.797534795341132))
((11292,01-17),(List(52684.0, 5587.0, 2283.0, 9.411121160642658, 23.41575132129369, 10.0),List(5623.0, 603.0, 179.0, 9.325041459369817, 31.41340782122905, 1.0),-7.99765649993536))
((11292,01-18),(List(52174.0, 5706.0, 2163.0, 9.150870122992803, 24.34378227214583, 10.0),List(7204.0, 601.0, 228.0, 11.986688851913478, 31.596491228070175, 1.0),-7.252708955924344))
((11292,01-19),(List(54971.0, 5830.0, 2185.0, 9.28939081181159, 25.23437126416751, 10.0),List(6248.0, 500.0, 168.0, 12.496, 37.19047619047619, 1.0),-11.95610492630868))
((11292,01-20),(List(51561.0, 5856.0, 2181.0, 8.798370938413848, 23.53032360164129, 10.0),List(6608.0, 562.0, 196.0, 11.758007117437723, 33.714285714285715, 1.0),-10.183962112644426))
((11292,01-21),(List(80519.0, 5521.0, 2412.0, 15.075683461805486, 31.115970202018396, 10.0),List(12583.0, 597.0, 252.0, 21.077051926298157, 49.932539682539684, 1.0),-18.816569480521288))
((11292,01-22),(List(67881.0, 5687.0, 2282.0, 11.99589692451214, 29.401890442606593, 10.0),List(12305.0, 579.0, 338.0, 21.25215889464594, 36.405325443786985, 1.0),-7.003435001180392))
((11292,01-23),(List(57014.0, 5664.0, 2262.0, 9.792261682124725, 24.555846228147665, 10.0),List(9537.0, 590.0, 215.0, 16.164406779661018, 44.35813953488372, 1.0),-19.802293306736054))
((11292,01-24),(List(51672.0, 5568.0, 2088.0, 9.146622023612213, 24.18625128903674, 10.0),List(15589.0, 606.0, 372.0, 25.724422442244226, 41.905913978494624, 1.0),-17.719662689457884))
((11292,01-25),(List(53768.0, 5714.0, 2154.0, 9.335109799251102, 23.82028646137434, 10.0),List(7019.0, 613.0, 226.0, 11.450244698205546, 31.057522123893804, 1.0),-7.237235662519463))
((11292,01-26),(List(50199.0, 5746.0, 2070.0, 8.647329472243062, 22.75862159967334, 10.0),List(4951.0, 519.0, 128.0, 9.539499036608863, 38.6796875, 1.0),-15.92106590032666))
((11292,01-27),(List(53280.0, 5789.0, 2050.0, 9.107445307979678, 24.287405726058747, 10.0),List(4882.0, 580.0, 181.0, 8.417241379310346, 26.972375690607734, 1.0),-2.684969964548987))
